                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.4175,                 2.9222,                 1.6994,                 1.1692,                 0.6687,                 0.4875,                0.50064,                0.17381,                0.53033,                 0.2625,                  0.307,                0.10515,                 2.3612,                  2.875,                 1.4975,                 1.3761,               0.007822,               0.007822,               0.007822
                     24,                 2.1569,                 2.7046,                 1.2929,                  1.123,                0.65927,                 0.6125,                0.61355,                0.24944,                0.54269,                   0.55,                0.50842,                0.18498,                 1.9731,                 2.6421,                  1.189,                 1.1575,               0.007723,               0.007723,               0.007723
                     25,                  2.122,                 2.4543,                  1.222,                 1.0689,                0.65927,                 0.6125,                0.61355,                0.24944,                0.54269,                   0.55,                0.50842,                0.18498,                 1.9731,                 2.6421,                  1.189,                 1.1575,               0.007624,               0.007624,               0.007624
                     26,                 2.0111,                 2.4109,                 1.2337,                 1.0784,                0.65927,                 0.6125,                0.61355,                0.24944,                0.54269,                   0.55,                0.50842,                0.18498,                 1.9731,                 2.6421,                  1.189,                 1.1575,               0.007525,               0.007525,               0.007525
                     27,                 1.9232,                 2.1387,                 1.3798,                 1.0716,                0.54567,                    0.6,                0.52075,                0.15931,                0.33893,                  0.375,                0.30812,                0.08576,                 2.3795,                 2.6391,                 1.7104,                 1.3855,               0.007426,               0.007426,               0.007426
                     28,                   1.75,                 2.2767,                 1.2968,                 1.0076,                0.54567,                    0.6,                0.52075,                0.15931,                0.33893,                  0.375,                0.30812,                0.08576,                 2.3795,                 2.6391,                 1.7104,                 1.3855,               0.007327,               0.007327,               0.007327
                     29,                 1.8651,                 2.4334,                 1.3635,                  1.056,                0.54567,                    0.6,                0.52075,                0.15931,                0.33893,                  0.375,                0.30812,                0.08576,                 2.3795,                 2.6391,                 1.7104,                 1.3855,               0.007228,               0.007228,               0.007228
                     30,                 2.0019,                 2.4838,                 1.5999,                 1.0721,                0.67784,                  0.525,                0.57634,                0.20031,                0.50268,                    0.4,                0.39524,                0.11971,                 2.3613,                 2.8032,                 1.3062,                 1.3808,               0.007129,               0.007129,               0.007129
                     31,                 1.6958,                 2.0789,                 1.5491,                 1.0398,                0.67784,                  0.525,                0.57634,                0.20031,                0.50268,                    0.4,                0.39524,                0.11971,                 2.3613,                 2.8032,                 1.3062,                 1.3808,                0.00703,                0.00703,                0.00703
                     32,                 2.2048,                  2.475,                 2.0165,                 1.0322,                0.59316,                0.60143,                0.58055,                0.24339,                0.52131,                 0.5125,                0.49282,                0.16954,                 2.0275,                 2.8029,                 1.1222,                 1.1939,               0.006931,               0.006931,               0.006931
                     33,                 2.0965,                 2.5047,                 1.2523,                 1.0454,                0.59316,                0.60143,                0.58055,                0.24339,                0.52131,                 0.5125,                0.49282,                0.16954,                 2.0275,                 2.8029,                 1.1222,                 1.1939,               0.006832,               0.006832,               0.006832
